view,like,danmaku,reply,share
15036.671837464684,9181.870527101346,20558.858373004772,23508.079266254936,364980
12641.364168933973,10864.906920081105,23454.82897749785,16269.795026545928,706730
12238.10929756772,13538.008345504672,15137.35655256712,12842.117199483728,15580
8901.89885294988,8732.447748329101,4761.887524589196,4111.812434234699,63970
11970.299838756066,14875.745653011893,11603.934692566094,8426.763813261232,12060
11011.237207194037,4925.554995864266,3502.8157566736572,16220.7614881479,311480
10201.763964634378,9656.656769626084,33585.44917885683,9792.698097206317,12690
9478.046998322929,4427.926803527341,4239.473002277216,16757.79548012631,316120
9486.693345829986,10355.857752838085,2313.399258399716,7067.834320515863,91720
7414.104073249235,5947.3614390860475,1980.9536532920924,1688.1546791321334,112610
8826.363283491906,6153.680609142876,6259.475821883538,7100.523346114548,18850
8357.532559416319,3039.6108928645626,1008.9460269298031,1494.3554559399247,9390
6311.749489817531,9757.813975937199,7586.092093693959,4868.329883804286,11220
4079.7794921577665,9138.55981706785,4975.074865007418,8480.467212459072,13120
5133.118461971066,7871.276575539775,3502.8157566736572,2505.38031909928,42420
6442.715976497005,4754.981994020013,5838.378055413881,4027.754939838078,14440
5903.476874425759,4644.925326743115,392.6024288890029,2260.2126271091356,86030
4666.889219277835,13514.276449595905,3396.222086464546,5683.220593371526,7050
5654.6860125161975,3409.9767933907333,5597.750760288363,1959.0066055212449,9400
7556.040560709331,6178.74742419651,2081.215026261058,2248.537975109605,15700
5157.920934956263,8514.559279016748,3225.2500609806257,4081.458339035919,57950
5601.469301131462,80.54012174037268,2835.8137807116955,9911.77954760153,5930
3438.2912270161805,6562.6108405207915,2683.83864694821,2556.7487878972142,6390
4820.326106635343,9524.203125585287,1302.3424657231976,2362.9495647050057,7630
4560.986195625154,12377.073662517752,4732.336804135185,3117.1320838746865,16770
4833.198809009535,5837.898069206866,5280.080515407745,2505.38031909928,29420
6630.233111866761,2338.9266661582633,1605.2373503768101,4800.616902207008,5580
2937.3082136227135,3207.3657320696484,646.9497013681688,983.0056983604817,5940
3562.4719726141643,2683.6324542330813,6605.6414043448085,5286.282425387483,31830
4867.6747516009755,3955.662074942908,2079.1042605143434,3983.391262239861,6570
3015.411588328646,1610.505786108594,24425.78122098678,10780.373656366612,16330
3808.459296334971,4303.186025656892,14440.803856151148,3299.2566550673646,8890
3368.362733935716,3196.3897302118444,4220.476110556781,2517.0549710988103,24180
3482.6932102218598,2277.8170341931923,1114.4843142655566,1671.8101663327907,61100
4333.200822547253,4289.836834208211,851.6939787995304,1991.6956311199306,11780
2872.0522841901734,4049.996361180251,4683.789191960738,2925.6677910823837,26450
3852.372975591858,4954.626568352503,5300.1327900015385,2650.1460038934597,7830
3370.7958346460764,4500.605734747935,4550.810949917689,3523.4099734583533,10910
2358.2049874561158,5567.502780196371,1786.7632045943062,3467.371643860606,21420
2458.1557543536924,5394.853237460103,4165.596201142189,3149.821109473372,9630
4065.526068273198,6513.070507811243,5062.671643496094,2752.88294148933,6760
6488.5744525154605,752.449424657294,1147.2011833396402,5445.0576925811,124360
3919.043302669176,4125.196806341151,1684.3910658786253,3182.510135072058,8210
2801.896477202512,2807.92825905524,3689.618525257941,4971.066821400154,31490
3778.5633080218563,1800.0643046798582,2307.066961159571,2393.303659903785,77530
3349.2599466976258,6148.044283864545,4475.878765909304,4992.08119499931,4430
3721.541193449982,7488.599754010932,7821.442474452689,4016.0802878385475,4780
3543.6217563840705,1737.1747805216296,1123.9827601257743,4326.626031026063,51600
3638.2853701809336,1197.422472946646,1720.2740835727816,1613.4369063351373,77560
3396.381277756061,2314.453148502349,11818.177415857672,4413.01845582259,19120
3232.2606367603253,4924.961698466547,2803.096911637612,1671.8101663327907,26750
2639.813242337944,3496.3015647588672,1666.449557031547,1587.75267193617,49620
3980.0223630329856,5450.029895447981,2608.9064629398254,1916.9778583229345,13900
2176.033938422273,3942.3128834942277,1237.964110448388,1818.910781526877,10300
1472.901509262488,3053.701706060392,449.5931040503097,1907.6381367233098,21080
3625.1769348659464,4029.082627910651,1673.8372371450498,1620.4416975348556,11310
2467.366177111943,5145.964979116924,5289.578961267964,4536.769767017615,11300
2273.299033601494,1213.886475733352,260.6795697193111,1239.8480423501562,3900
2337.763573875647,2203.80318382773,7440.449257170619,6348.675757344773,31250
2212.8082771864756,3724.1277654830155,2461.1528606697707,3441.6874094616387,15970
2297.5795265035,2956.2526084850238,454.8700184170974,1515.3698295390795,25290
883.5270621040563,1144.1740315013535,443.2608068101645,861.5893175653626,2700
2111.2073797033254,2272.0323845654307,5376.120356883282,3287.5820030678337,25500
2387.1833011068447,2022.9958018728234,60.15682378137947,1758.2025911293176,19210
3362.073715836618,2803.6268529217764,354.60864544813165,1853.9347375254688,4860
2777.4055084605097,2084.6987312356136,1442.7083878797498,2993.3807726796613,6160
2938.394268957096,3317.422399346548,3897.5289513093753,3194.1847870715887,8920
2147.990137501128,1973.6037935127054,5345.5142535559135,2311.581095907071,9880
2823.8196406965562,4833.890547916659,7003.5207476006,2647.811073493554,19820
1830.7356943574787,2551.0304858428544,5285.357429774534,2752.88294148933,17730
2575.483406601388,2287.606441255558,852.749361672888,1576.0780199366393,48320
3721.2633653411867,2098.3445713831534,1030.053684396954,1912.3079975231221,11120
1940.9408441796895,3706.9221409491606,1690.7233631187703,2998.0506334794736,23660
5094.416164512494,1745.3326197402678,518.1929908185494,2218.1838799108255,30310
1186.528081363137,3919.174284983181,2299.6792810460684,3665.8407278526274,36630
2564.639691324764,1718.485912493477,287.0641415532494,828.900291966677,30990
2711.4002850375814,2779.3016596152916,1457.4837481067552,3098.452640675437,11060
10966.877319156358,726.4926635070817,1894.4122576767747,8842.381424444522,46510
1982.977078943807,2380.6058083480325,1431.099176272817,4011.410427038735,10470
2345.61011319072,1232.5753437615047,389.43628026893026,1639.1211407341045,76640
6798.39488899043,1690.6009348006774,482.3099731243933,2213.514019111013,4710
3056.3112535567816,2224.42026839847,712.3834395163359,1291.216511148091,2010
2404.0466254073713,1805.7006299581897,2182.5317821033814,772.8619623689298,2890
1674.1500884336208,2377.4909970100066,336.6671366010536,943.3118815620774,7340
2721.402096954219,2747.411924487888,1640.0649851976088,1723.1786351307253,5390
2232.946605557349,722.3395817230478,137.19977353647948,1830.5854335264075,65960
1411.3499546138871,1915.1639998373705,690.2203991758277,1099.7522183557883,25700
1797.2700357980218,905.9651263171204,2136.09493567565,9255.664105227906,8360
2346.350988147508,668.3495185306065,37.99378344087125,357.2443511856382,48400
1800.3766591963715,4508.466925267713,1281.234808256047,2771.5623846885787,3930
2496.6138998378683,2134.98068569231,1348.7793121509294,2066.413403916927,6910
2185.7410841629153,1231.0921002672067,772.5402632977153,3357.629915065018,48390
2206.9654678681704,635.2731886077646,2232.1347771511855,3303.926515867177,45490
2422.8884226038654,819.3437062501265,725.0480339966263,4882.339466203722,73970
3802.5659728150667,203.3526830682338,254.3472724791658,2797.246619087546,4950
2353.2125005313965,3288.0541781594507,1971.4552074318747,1804.90119912744,4890
1723.8139676392145,894.0991783627377,1063.825936344395,1730.1834263304438,4420
1357.106121129968,2351.8308845586544,2311.2884926530005,5909.70884216242,1050
2632.65706377806,1633.347735920781,594.180557700292,936.307090362359,4210
2061.7287192369286,1012.4620092077053,1230.5764303348853,3976.386471040143,2440
15055.016911678787,9193.43982635687,20607.40598517922,23526.75870945419,365360
12684.461201931672,10896.648330859078,23539.259607366454,16307.153912944426,708480
12251.083028345109,13546.611157771598,15148.965764174052,12858.46171228307,15590
8913.011977301701,8744.165371934054,4773.496736196129,4116.4822950345115,64030
11985.403585034222,14890.87473665373,11612.377755552952,8440.773395660668,12070
11036.89842160642,4932.081267239177,3508.092671040445,16244.11079214696,311740
10215.486989402154,9663.776338398715,33627.664493791126,9790.363166806412,12700
9496.206853797832,4432.524858359664,4244.749916644004,16774.13999292565,316300
9524.797891902968,10383.001108783736,2319.7315556398607,7081.843902915299,92110
7431.497796666552,5957.299170497843,1985.1751847855226,1692.8245399319458,112850
8829.663544663053,6154.422230890026,6259.475821883538,7102.858276514454,18850
8387.647442603029,3046.7304616371925,1011.0567926765182,1494.3554559399247,9410
6334.3040808315645,9779.765979652804,7626.196642881545,4884.674396603628,11230
4108.033768918908,9183.502094945074,5009.902499828217,8536.505542056819,13210
5144.964042246073,7886.998956579332,3505.9819052937296,2505.38031909928,42480
6445.056467837767,4755.575291417734,5839.433438287239,4030.0898702379836,14450
5934.728327148452,4665.394086964424,392.6024288890029,2264.882487908948,86650
4672.487876621743,13528.663911490594,3400.4436179579766,5685.555523771432,7050
5662.62516120087,3412.3499829816096,5604.083057528509,1959.0066055212449,9400
7559.526040619674,6179.637370293089,2082.270409134416,2248.537975109605,15700
5161.953652050597,8518.415712101922,3232.6377410941286,4083.7932694358246,58000
5666.4053072872075,80.54012174037268,2847.4229923186285,9984.16238999862,5990
3465.509962644539,6600.581873974816,2694.3924756817855,2566.088509496839,6420
4574.153564175341,12409.111721994586,4745.001398615475,3121.801944674499,16800
4824.602975704074,9531.174370008486,1306.563997216628,2365.284495104912,7630
4837.231526103869,5840.716231846033,5286.412812647891,2505.38031909928,29440
2951.4942852384834,3218.1934095780225,650.1158499882413,985.3406287603877,5960
6639.872905338604,2341.4481800985695,1606.2927332501677,4802.951832606913,5580
3565.1323872317216,2684.6707246790897,6606.696787218167,5286.282425387483,31830
4871.522249956112,3957.4419671360656,2080.1596433877007,3983.391262239861,6570
3019.8568380693737,1611.3957322051729,24455.331941440792,10792.048308366142,16350
