view,like,danmaku,reply,favorite,coin,share,point
457810,33412,5023,1135,5322,11169,783,406170
400638,30357,4315,1511,6577,18836,1092,405583
280317,37555,1693,1486,14888,35029,2145,403027
775482,5101,1090,2345,1942,496,12495,401143
456688,12376,2212,1036,6877,6880,7889,400369
483132,43916,4798,1180,3417,15740,678,398312
466010,27848,1599,1364,3877,10484,821,395408
333423,18949,3496,2128,10013,15623,3155,390423
398366,41499,4244,2140,6292,60988,445,383968
442233,50497,7412,1720,4542,13961,478,382490
421237,11723,1065,1855,5331,979,5161,375545
433726,8094,1636,696,6218,2460,7777,374453
404997,15655,11231,1893,3194,9828,1918,360733
386413,33336,2675,721,6212,22370,2694,359527
473385,36775,2473,822,2726,7213,1392,350437
176284,20747,428,820,16073,24489,2124,350286
313681,23580,1579,682,9468,8888,4963,350095
258850,26597,1173,779,8767,21075,1030,349616
430755,27171,1586,694,3222,13949,1131,345540
293784,34752,5020,1945,8525,43632,1132,336212
270616,8189,248,532,9398,5319,390,332108
277977,14865,7063,2725,3339,6439,3127,323901
263002,25116,2332,1475,8511,29870,1597,319488
273184,19939,431,650,8601,6790,2529,313492
105411,7723,420,369,15827,8150,270,313260
250963,15328,5095,1408,5910,9336,2550,311049
283556,13639,57,753,9069,6785,1921,306970
256440,13357,5090,993,5416,10357,991,303079
399648,18909,336,795,3062,1597,486,301607
330121,14059,1367,1282,3928,15317,617,301586
349114,22366,3694,1368,3782,5643,892,301294
336107,32630,6648,1134,3438,9889,1984,301161
217902,17212,5018,1179,7584,11010,1775,299561
447749,14313,996,832,851,2262,1127,298656
306458,15441,808,675,6453,14470,4843,293932
231411,25051,1606,1288,8085,10360,2372,290906
605646,11779,491,954,2686,519,3033,288597
141917,26562,2185,1575,12598,36682,3692,283192
305596,11623,273,356,6147,2065,3105,278576
322530,18754,1383,1322,1985,6607,1106,273462
1304064,4901,1796,3794,784,234,4652,261784
235641,16054,1356,1718,4411,15432,1047,256460
279859,8354,370,705,4342,5657,7699,249320
364056,15031,677,558,712,3325,201,244161
807604,11399,457,948,1452,2391,471,244034
286414,12198,2069,331,1211,7821,289,239913
266527,4885,132,786,4175,1414,6622,237944
199319,16054,320,404,7137,8986,737,237724
323646,18537,1557,738,1279,2873,539,236807
168449,12959,658,471,8438,8238,2579,233352
280129,4534,36,154,4302,818,4864,230962
213891,6116,2024,3967,1218,1612,836,230356
214089,30424,1217,1188,4854,25711,393,229109
296628,14398,1278,885,1135,4525,691,228689
260332,8317,731,1446,1734,7445,4852,228596
288859,5539,690,2104,936,535,7404,227663
262257,4284,2115,1417,2001,783,4551,227130
452199,1372,242,1201,1770,72,497,225688
279960,22189,1873,775,2078,12607,489,225606
205074,6031,1011,741,3605,3946,442,224121
161321,15867,2193,2535,3381,13669,105,222415
246331,6861,1171,1713,1508,2613,245,221541
313151,11022,563,401,1056,6879,422,221071
1791982,62095,19588,10094,26791,14743,36588,1480610
1515450,73810,22430,7033,32679,57048,71174,1382188
1457972,91455,14378,5517,6984,37038,1561,1128155
1061513,59069,4532,1767,30361,10424,6415,1034637
1426484,100539,11024,3622,11384,44198,1209,991236
1316192,33323,3345,6975,9659,11953,31231,988586
1216569,65221,31945,4196,3501,16263,1273,894092
1131665,29952,4030,7201,7170,10402,31658,891967
1138370,70312,2208,2896,8126,33439,9269,803273
886469,40289,1883,727,16574,24060,11338,764974
1049411,41500,5932,3043,2668,14464,1888,720948
1002220,20611,964,640,7854,3434,944,659979
756796,66210,7226,2098,9727,30048,1128,653747
493592,62383,4804,3700,14994,45761,1330,644940
613065,53306,3331,1075,14280,36614,4261,606062
765950,32075,5536,1726,5464,8301,1446,600556
711942,31696,376,976,11524,3307,8767,598505
556266,91372,3224,2437,12474,150230,708,562248
674095,23031,5314,841,4240,13500,941,558704
898587,41677,1974,963,2676,4893,1570,546752
614035,57475,3068,1750,9494,14911,5817,546316
684754,544,2718,4321,7,8607,603,515435
416347,44913,2577,1101,15890,46190,649,511406
545950,83981,4517,1341,9018,59434,1687,496509
573809,64327,1240,1015,9169,68718,765,494479
575291,39406,5015,1073,4298,24037,2945,467282
353852,21844,619,425,16682,11350,603,461004
424091,18114,6264,2264,5356,17155,3190,455083
579501,26703,1973,1707,2080,3432,659,449447
359631,10882,23241,4633,1822,4797,1638,447839
453518,29038,13712,1413,3705,16084,891,445033
307563,37790,4078,1377,15326,49240,998,421899
401666,21607,4012,1079,7124,15092,2424,418782
415830,15448,1062,716,11271,4979,6137,417869
523066,29365,819,818,4941,20353,1195,414890
471508,12803,2309,1051,7111,7146,8133,410959
342196,27342,4445,1253,8275,12938,2652,408197
458174,33431,5032,1136,5324,11174,784,406322
401169,30377,4316,1512,6581,18846,1092,405970
783645,5167,1099,2371,1967,499,12591,404009
280607,37583,1693,1487,14896,35053,2146,403330
483424,43931,4804,1181,3417,15744,680,398554
466813,27882,1602,1369,3880,10498,823,395943
334465,18987,3498,2136,10034,15652,3166,391313
399214,41573,4246,2140,6296,61091,445,384525
442571,50520,7417,1720,4542,13978,478,382674
436315,8134,1641,703,6257,2469,7826,376459
421840,11741,1067,1858,5337,980,5166,376066
407268,15707,11261,1897,3206,9871,1933,362227
390028,33528,2693,706,6256,22506,2734,362097
178860,21001,433,829,16260,24802,2151,354504
474263,36829,2476,823,2729,7227,1393,350767
259499,26634,1176,779,8774,21102,1032,350340
313883,23590,1579,682,9474,8892,4964,350304
